Keyword,Search Volume,Market,Platform,Category,Intent,Priority,Communities Found,Landing Page,Status
"whatsapp group","368000","India","WhatsApp","General","High-intent community discovery","Tier 1","14 platform supply","","Demand proven; broad page withheld until supply grows"
"whatsapp group for ias","12100","India","WhatsApp","Study & Education","Very high-intent exam-community discovery","Tier 1","0 mapped","","Demand proven; insufficient supply"
"tamil whatsapp group link","5000","India","WhatsApp","Language / Regional","High-intent language-community discovery","Tier 1","0 mapped","","Demand proven; insufficient supply"
"news whatsapp group link","3000","India","WhatsApp","News","High-intent news-community discovery","Tier 1","0 mapped","","Demand proven; insufficient supply"
"youtube subscribe whatsapp group","3700","India","WhatsApp","Creators / Promotion","High-intent creator-promotion discovery","Tier 2","0 mapped","","Demand proven; insufficient supply"
"youtube whatsapp group","1400","India","WhatsApp","Creators / Promotion","High-intent creator-community discovery","Tier 2","0 mapped","","Demand proven; insufficient supply"
"stock market whatsapp group","1400","India","WhatsApp","Finance & Investing","High-intent finance-community discovery","Tier 2","0 mapped","","Demand proven; insufficient supply"
"friendship whatsapp group","1300","India","WhatsApp","Random & Friends","High-intent social-community discovery","Tier 2","1 direct-category listing","","Demand proven; supply below index threshold"
"private job whatsapp group link","1000","India","WhatsApp","Career & Jobs","High-intent jobs-community discovery","Tier 2","0 mapped","","Demand proven; insufficient supply"
"mallu telegram group","8100","India","Telegram","Language / Regional","High-intent regional-community discovery","Tier 2","0 dedicated mapping","","Demand proven; taxonomy/supply needs expansion"
"telegram group link malayalam","3600","India","Telegram","Language / Regional","High-intent regional-community discovery","Tier 2","0 dedicated mapping","","Demand proven; taxonomy/supply needs expansion"
"study WhatsApp group","Unavailable","India / Global","WhatsApp","Study & Education","High-intent community discovery","Tier 2","6 category/platform","/whatsapp-groups/study","Implemented"
"coding WhatsApp group","Unavailable","India / Global","WhatsApp","Technology > Coding","High-intent community discovery","Tier 2","3 category/platform","/whatsapp-groups/coding","Implemented"
"anime WhatsApp group","Unavailable","India / Global","WhatsApp","Anime & Fandom","High-intent community discovery","Tier 3","3 category/platform","/whatsapp-groups/anime","Implemented"
"study Telegram group","Unavailable","India / Global","Telegram","Study & Education","High-intent community discovery","Tier 2","35 category/platform","/telegram-groups/study","Implemented"
"coding Telegram group","Unavailable","India / Global","Telegram","Technology > Coding","High-intent community discovery","Tier 2","28 category/platform","/telegram-groups/coding","Implemented"
"jobs Telegram group","Unavailable","India / Global","Telegram","Career & Jobs","High-intent jobs-community discovery","Tier 2","26 category/platform","/telegram-groups/jobs","Implemented"
"JEE Telegram group","Unavailable","India","Telegram","Study & Education > Competitive Exams","Very high-intent exam-community discovery","Tier 2","7 category/platform","/telegram-groups/jee","Implemented"
"anime Telegram group","Unavailable","India / Global","Telegram","Anime & Fandom","High-intent community discovery","Tier 3","4 category/platform","/telegram-groups/anime","Implemented"
"coding Discord server","Unavailable","Global","Discord","Technology > Coding","High-intent community discovery","Tier 1","20 category/platform","/discord-servers/coding","Implemented"
"gaming Discord server","Unavailable","Global","Discord","Gaming","Very high-intent community discovery","Tier 1","15 category/platform","/discord-servers/gaming","Implemented"
"anime Discord server","Unavailable","Global","Discord","Anime & Fandom","High-intent community discovery","Tier 2","3 category/platform","/discord-servers/anime","Implemented"
"student Instagram group chat","Unavailable","Global","Instagram","Study & Education > College Students","High-intent student-community discovery","Tier 3","11 category/platform","/instagram-gcs/students","Implemented"
"anime Instagram group chat","Unavailable","Global","Instagram","Anime & Fandom","High-intent community discovery","Tier 3","5 category/platform","/instagram-gcs/anime","Implemented"
